X,Y,OBJECTID,LOCATION_ID,COUNTY_ID,COUNTY_DESC,MUN_SORT,MUNICIPALITY,ROADNAME,ID_PREFIX,ID_RTE_NO,MP_SUFFIX,ID_MP,BEGIN_SECTION,END_SECTION,STATION_DESC,ROAD_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,ROUTEID,ROUTEID_RH,MAIN_LINE,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,STMP_SEQ,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,AVMT,LINK,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT,AAWDT_2010,AAWDT_2011,AAWDT_2012,AAWDT_2013,AAWDT_2014,AAWDT_2015,AAWDT_2016,AAWDT_2017,AAWDT_2018,AAWDT,MOTORCYCLE_AADT,CAR_AADT,LIGHT_TRUCK_AADT,BUS_AADT,SINGLE_UNIT_AADT,COMBINATION_UNIT_AADT,LOC_ERROR,TRUCK_AADT,SUTRUCK_AADT_PCT_TRUCK,CUTRUCK__AADT_PCT_TRUCK,MCYCLE_AADT_PCT_OVERALL,CAR_AADT_PCT_OVERALL,LIGHT_TRUCK_AADT_PCT_OVERALL,BUS_AADT_PCT_OVERALL,SUTRUCK_AADT_PCT_OVERALL,CUTRUCK_AADT_PCT_OVERALL,TRUCK_AADT_PCT_OVERALL,NUM_LANES_ANNO,K_FACTOR_ANNO,D_FACTOR_ANNO,NORTH_EAST_SPLIT_ANNO,SOUTH_WEST_SPLIT_ANNO,AADT_2010_ANNO,AADT_2011_ANNO,AADT_2012_ANNO,AADT_2013_ANNO,AADT_2014_ANNO,AADT_2015_ANNO,AADT_2016_ANNO,AADT_2017_ANNO,AADT_2018_ANNO,AADT_ANNO,AAWDT_2010_ANNO,AAWDT_2011_ANNO,AAWDT_2012_ANNO,AAWDT_2013_ANNO,AAWDT_2014_ANNO,AAWDT_2015_ANNO,AAWDT_2016_ANNO,AAWDT_2017_ANNO,AAWDT_2018_ANNO,AAWDT_ANNO,MOTORCYCLE_AADT_ANNO,CAR_AADT_ANNO,BUS_AADT_ANNO,LIGHT_TRUCK_AADT_ANNO,SINGLE_UNIT_AADT_ANNO,COMBINATION_UNIT_AADT_ANNO,TRUCK_AADT_ANNO
-8579956.3514,4728856.3999,1208,B2797,15,Montgomery,0,None,Connecticut Ave,MD,185,  ,5.82,4.54,5.92,Md185-.10 Mi S Of Md586,Md 193 To Md 586,Urban,3,Principal Arterial Other,15000MD00185  01NN**************,15000MD00185--1-----,1,South,6,C,0,7.8,79.79,46.67,53.33,18.2239,https://maps.roads.maryland.gov/itms_public/?stationid=B2797,39950,40111,39792,37270,37161,38132,35300,36151,35832,36180,42750,43321,42982,40250,39761,40802,37770,38681,38342,38350,,,,,,,NO ERROR,,,,,,,,,,,6,7.8,79.79,46.67,53.33,"39,950","40,111","39,792","37,270","37,161","38,132","35,300","36,151","35,832","36,180","42,750","43,321","42,982","40,250","39,761","40,802","37,770","38,681","38,342","38,350",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8579971.5453,4726122.9005,1213,B2796,15,Montgomery,0,None,Connecticut Ave,MD,185,  ,4.5,4.4,4.54,Md185-.10 Mi N Of Md192,Md 192 To Md 193,Urban,3,Principal Arterial Other,15000MD00185  01NN**************,15000MD00185--1-----,1,North,6,C,0,7.02,62.59,46.97,53.03,2.6797,https://maps.roads.maryland.gov/itms_public/?stationid=B2796,56030,56251,55802,51620,51471,52812,52840,54111,53622,52440,59950,60751,60272,55750,55071,56512,56540,57901,57382,55590,,,,,,,NO ERROR,,,,,,,,,,,6,7.02,62.59,46.97,53.03,"56,030","56,251","55,802","51,620","51,471","52,812","52,840","54,111","53,622","52,440","59,950","60,751","60,272","55,750","55,071","56,512","56,540","57,901","57,382","55,590",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8569109.9624,4723907.0471,1214,B2960,15,Montgomery,0,None,New Hampshire Ave,MD,650,  ,2.98,2.68,3.23,Md650-.25 Mi S Of Is495,Adelphi Rd To Is 495,Urban,3,Principal Arterial Other,15000MD00650  01NN**************,15000MD00650--1-----,1,North,6,F,2,6.88,50.93,48.91,51.09,16.1546,https://maps.roads.maryland.gov/itms_public/?stationid=B2960,69311,69592,68890,69031,68822,77390,78861,80752,80470,80471,74161,75162,74400,74551,73642,82810,84381,86412,86100,85301,183,69281,8535,417,1678,377,NO ERROR,2055,0.81654501,0.18345499,0.00227411,0.86094369,0.10606305,0.00518199,0.02085223,0.00468492,0.02553715,6,6.88,50.93,48.91,51.09,"69,311","69,592","68,890","69,031","68,822","77,390","78,861","80,752","80,470","80,471","74,161","75,162","74,400","74,551","73,642","82,810","84,381","86,412","86,100","85,301",183,"69,281",417,"8,535","1,678",377,"2,055"
-8603024.3873,4745220.091,1228,B2768,15,Montgomery,0,None,Germantown Rd,MD,118,  ,4.1,4,5.42,Md118-.10 Mi N Of Md117,Md 117 To Middlebrook Rd,Urban,3,Principal Arterial Other,15000MD00118  01NN**************,15000MD00118--1-----,1,South,6,F,0,8.66,52.96,49.27,50.73,11.9582,https://maps.roads.maryland.gov/itms_public/?stationid=B2768,25602,24870,24671,24722,23880,24501,24972,22340,22141,23072,27392,26860,26651,26702,25550,26221,26722,23900,23691,23472,,,,,,,NO ERROR,,,,,,,,,,,6,8.66,52.96,49.27,50.73,"25,602","24,870","24,671","24,722","23,880","24,501","24,972","22,340","22,141","23,072","27,392","26,860","26,651","26,702","25,550","26,221","26,722","23,900","23,691","23,472",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8584959.8722,4724035.9745,1238,S2000150143,15,Montgomery,0,None,Ramp 8 Fr Md 187 Sb To Is 495 Wb,RP,495,  ,0.02,0,0.03,Exit 36 Ramp 8 Fr Md 187 Sb To Is 495 Wb,Exit 36 Ramp 08 Old Georgetown Rd To Ramp 1 Fr Md 187 Nb To Ramp 8 (to Is495),Urban,1,Interstate,15000RP00495  02SSIS36        08,15000RP00495--103608,2,West,1,F,0,9.69,100,0,100,0.0419,https://maps.roads.maryland.gov/itms_public/?stationid=S2000150143,4333,5050,5081,5132,5133,5264,5385,5390,3800,3831,4593,5350,5391,5442,5393,5534,5655,5610,3950,3981,,,,,,,NO ERROR,,,,,,,,,,,1,9.69,100,0,100,"4,333","5,050","5,081","5,132","5,133","5,264","5,385","5,390","3,800","3,831","4,593","5,350","5,391","5,442","5,393","5,534","5,655","5,610","3,950","3,981",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8588178.5712,4748231.2055,1240,B150115,15,Montgomery,0,None,Fieldcrest Rd,CO,5076,  ,0.1,0,1.68,Fieldcrest Rd-.10 Mi E Of Md124,Md 124  To Md 108,Urban,4,Minor Arterial,15000CO05076  01EE**************,15000CO05076--1-----,1,East,2,F,0,9.32,54.23,50.45,49.55,5.7586,https://maps.roads.maryland.gov/itms_public/?stationid=B150115,9521,9562,9340,9361,9332,9250,9431,9662,9390,9391,10191,10332,10090,10111,9992,9900,10091,10342,10050,9951,11,7488,1284,61,447,100,NO ERROR,547,0.81718464,0.18281536,0.00117133,0.79735917,0.13672665,0.00649558,0.04759876,0.01064849,0.05824726,2,9.32,54.23,50.45,49.55,"9,521","9,562","9,340","9,361","9,332","9,250","9,431","9,662","9,390","9,391","10,191","10,332","10,090","10,111","9,992","9,900","10,091","10,342","10,050","9,951",11,"7,488",61,"1,284",447,100,547
-8561621.538,4736900.8945,1261,S2012150651,15,Montgomery,0,None,Riding Stable Rd                        ,CO,90,  ,0.06,0,0.67,Riding Stable Rd - Between Md 198 & Huckburn Ct,Sandy Spring Rd To Jerald Rd,Urban,5,Major Collector,15000CO00090  01NN**************,15000CO00090--1-----,1,North,2,F,0,10.25,65.03,49.85,50.15,0.8366,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150651,,,3400,3411,3402,3493,3564,3655,3420,3421,,,3670,3681,3642,3743,3814,3875,3630,3761,,,,,,,NO ERROR,,,,,,,,,,,2,10.25,65.03,49.85,50.15,N/A,N/A,"3,400","3,411","3,402","3,493","3,564","3,655","3,420","3,421",N/A,N/A,"3,670","3,681","3,642","3,743","3,814","3,875","3,630","3,761",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8588147.7393,4733867.5802,1280,S2012150979,15,Montgomery,130,Rockville,E Middle La,MU,3356,  ,0.23,0,0.25,E Middle La - Between Md 355 & Monroe St,N Washington St To Hungerford Dr,Urban,5,Major Collector,15130MU03356  01EE**************,15130MU03356--1-----,1,East,4,F,0,9.11,59.32,52.44,47.56,0.94,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150979,,,10640,10661,10632,10913,11124,11395,10300,10301,,,11490,11511,11382,11683,11904,12085,10920,11331,,,,,,,NO ERROR,,,,,,,,,,,4,9.11,59.32,52.44,47.56,N/A,N/A,"10,640","10,661","10,632","10,913","11,124","11,395","10,300","10,301",N/A,N/A,"11,490","11,511","11,382","11,683","11,904","12,085","10,920","11,331",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8566730.3504,4730235.2185,1282,B150074,15,Montgomery,0,None,Cherry Hill Rd,CO,4359,  ,0.4,0.25,1.47,Cherry Hill Rd-.40 Mi S Of Us29,Md 929b (back) To Prince Georges Co/l,Urban,4,Minor Arterial,15000CO04359  01SS**************,15000CO04359--1-----,1,North,4,F,0,8.26,50.96,51.49,48.51,15.675,https://maps.roads.maryland.gov/itms_public/?stationid=B150074,33301,33432,33870,33941,33842,34040,34691,35522,33780,35201,35631,36112,36580,36661,36212,36420,37121,38012,36150,35811,,,,,,,NO ERROR,,,,,,,,,,,4,8.26,50.96,51.49,48.51,"33,301","33,432","33,870","33,941","33,842","34,040","34,691","35,522","33,780","35,201","35,631","36,112","36,580","36,661","36,212","36,420","37,121","38,012","36,150","35,811",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8591716.9157,4717892.6268,1286,S2000150116,15,Montgomery,0,None,Ramp 3 Fr Ramp 6 (fr C B Pkwy) To Is 495,RP,495,  ,0.1,0,0.46,Exit 41 Ramp 3 Fr Clara Barton Pkwy Eb To Is 495 Nb,Exit 41 Ramp 03 Ramp 6 Fr Clara Barton Pkwy To Is 495 Sb To Capital Beltway,Urban,1,Interstate,15000RP00495  02EEIS41        03,15000RP00495--104103,2,North,1,F,0,13.77,100,100,0,0.2386,https://maps.roads.maryland.gov/itms_public/?stationid=S2000150116,904,915,1410,1421,1422,1463,1494,1535,1410,1421,964,975,1500,1511,1492,1543,1574,1605,1470,1481,,,,,,,NO ERROR,,,,,,,,,,,1,13.77,100,100,0,904,915,"1,410","1,421","1,422","1,463","1,494","1,535","1,410","1,421",964,975,"1,500","1,511","1,492","1,543","1,574","1,605","1,470","1,481",N/A,N/A,N/A,N/A,N/A,N/A,N/A
