"Department","Department Name","Division","Gender","Base Salary","2024 Overtime Pay","2024 Longevity Pay","Grade"
"ABS","Alcohol Beverage Services","ABS 85 IT Administration","M","$169,555","$0","$0","M3"
"CUS","Community Use of Public Facilities","CUS 70 Finance and Administrative Support Team","F","$141,876.93","$0","$0","M3"
"DGS","Department of General Services","DGS 36 Fleet Management Services","F","$87,523","$748.37","$2,701.48","16"
"CEX","Offices of the County Executive","CEX 15 Chief Administrative Officer's Office","F","$207,000","$0","$0","EX2"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$91,392","$0","$5,733.27","N17"
"OAG","Office of Agriculture","OAG 78 Agricultural Services","F","$108,899","$0","$3,361.18","N21"
"COR","Correction and Rehabilitation","COR 42 MSD Fiscal Services","F","$160,088.68","$0","$0","M3"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","F","$130,181","$0","$8,166.53","N25"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$104,197","$0","$3,216","20"
"DGS","Department of General Services","DGS 36 Real Estate Office","F","$169,555","$0","$0","M3"
"DOT","Department of Transportation","DOT 50 Transit COS Taxicab Regulation","F","$108,899","$0","$4,045.18","21"
"SHF","Sheriff's Office","SHF 48 Administration","F","$125,647.51","$1,053.19","$0","N25"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Finance and Human Resources","F","$119,032","$0","$1,184.88","N23"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","M","$194,980","$0","$0","M2"
"OHR","Office of Human Resources","OHR 33 Administrative Services Team","F","$194,980","$0","$0","M2"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","F","$119,032","$0","$7,467.13","N23"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","F","$130,181","$0","$8,166.53","N25"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$95,458","$0","$5,988.2","18"
"IGR","Office of Intergovernmental Relations Department","IGR 20 Office of Intergovernmental Relations","F","$108,899","$21.28","$0","N21"
"DOT","Department of Transportation","DOT 50 Director Management Services","F","$119,032","$0","$7,467.13","N23"
"DGS","Department of General Services","DGS 36 Building Design and Construction","F","$149,112","$0","$9,354.05","28"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","M","$217,359","$0","$0","M1"
