X,Y,OBJECTID,LOCATION_ID,COUNTY_ID,COUNTY_DESC,MUN_SORT,MUNICIPALITY,ROADNAME,ID_PREFIX,ID_RTE_NO,MP_SUFFIX,ID_MP,BEGIN_SECTION,END_SECTION,STATION_DESC,ROAD_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,ROUTEID,ROUTEID_RH,MAIN_LINE,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,STMP_SEQ,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,AVMT,LINK,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT,AAWDT_2010,AAWDT_2011,AAWDT_2012,AAWDT_2013,AAWDT_2014,AAWDT_2015,AAWDT_2016,AAWDT_2017,AAWDT_2018,AAWDT,MOTORCYCLE_AADT,CAR_AADT,LIGHT_TRUCK_AADT,BUS_AADT,SINGLE_UNIT_AADT,COMBINATION_UNIT_AADT,LOC_ERROR,TRUCK_AADT,SUTRUCK_AADT_PCT_TRUCK,CUTRUCK__AADT_PCT_TRUCK,MCYCLE_AADT_PCT_OVERALL,CAR_AADT_PCT_OVERALL,LIGHT_TRUCK_AADT_PCT_OVERALL,BUS_AADT_PCT_OVERALL,SUTRUCK_AADT_PCT_OVERALL,CUTRUCK_AADT_PCT_OVERALL,TRUCK_AADT_PCT_OVERALL,NUM_LANES_ANNO,K_FACTOR_ANNO,D_FACTOR_ANNO,NORTH_EAST_SPLIT_ANNO,SOUTH_WEST_SPLIT_ANNO,AADT_2010_ANNO,AADT_2011_ANNO,AADT_2012_ANNO,AADT_2013_ANNO,AADT_2014_ANNO,AADT_2015_ANNO,AADT_2016_ANNO,AADT_2017_ANNO,AADT_2018_ANNO,AADT_ANNO,AAWDT_2010_ANNO,AAWDT_2011_ANNO,AAWDT_2012_ANNO,AAWDT_2013_ANNO,AAWDT_2014_ANNO,AAWDT_2015_ANNO,AAWDT_2016_ANNO,AAWDT_2017_ANNO,AAWDT_2018_ANNO,AAWDT_ANNO,MOTORCYCLE_AADT_ANNO,CAR_AADT_ANNO,BUS_AADT_ANNO,LIGHT_TRUCK_AADT_ANNO,SINGLE_UNIT_AADT_ANNO,COMBINATION_UNIT_AADT_ANNO,TRUCK_AADT_ANNO
-8533742.1435,4784320.6852,1,S2009030042,3,Baltimore,0,None,Timonium Rd,CO,798,  ,1.88,1.34,1.98,Timonium Rd - .10 Mile East Of Mays Chapel Rd,Jenifer Rd To Mays Chapel Rd,Urban,5,Major Collector,03000CO00798  01WW**************,03000CO00798--1-----,1,East,2,F,0,11.01,63.61,56.93,43.07,0.8629,https://maps.roads.maryland.gov/itms_public/?stationid=S2009030042,3481,3502,3473,3484,3475,3560,3631,3722,3693,3694,3731,3782,3753,3764,3725,3810,3891,3952,3923,4064,,,,,,,NO ERROR,,,,,,,,,,,2,11.01,63.61,56.93,43.07,"3,481","3,502","3,473","3,484","3,475","3,560","3,631","3,722","3,693","3,694","3,731","3,782","3,753","3,764","3,725","3,810","3,891","3,952","3,923","4,064",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8514936.5869,4719225.7214,2,B0740,2,Anne Arundel,0,None,King George St,MD,450,  ,12.88,12.46,13.42,Md450-.10 Mi W Of College Ave,Main St To Md 435,Urban,4,Minor Arterial,02000MD00450  01EE**************,02000MD00450--1-----,1,East,2,F,2,7.36,68.52,48.39,51.61,3.6305,https://maps.roads.maryland.gov/itms_public/?stationid=B0740,10991,11042,10390,10411,10382,9710,9891,10132,10360,10361,11761,11932,11220,11241,11112,10390,10581,10842,11090,10981,37,9258,881,31,146,8,NO ERROR,154,0.94805195,0.05194805,0.00357108,0.89354309,0.0850304,0.00299199,0.0140913,0.00077213,0.01486343,2,7.36,68.52,48.39,51.61,"10,991","11,042","10,390","10,411","10,382","9,710","9,891","10,132","10,360","10,361","11,761","11,932","11,220","11,241","11,112","10,390","10,581","10,842","11,090","10,981",37,"9,258",31,881,146,8,154
-8570494.6832,4653970.1975,3,B1761,8,Charles,0,None,Port Tobacco Rd,MD,6,  ,24.75,22.95,25.21,Md6-.60 Mi W Of Us301,Chapel Point Rd To Us 301,Rural,5,Major Collector,08000MD00006  01EE**************,08000MD00006--1-----,1,West,2,F,1,8.99,51.54,50.08,49.92,8.2597,https://maps.roads.maryland.gov/itms_public/?stationid=B1761,9740,9781,9702,9723,9694,9955,9860,10101,10012,10013,10420,10561,10482,10503,10374,10655,10550,10811,10712,10613,24,6915,2270,112,577,115,NO ERROR,692,0.83381503,0.16618497,0.00239688,0.69060222,0.22670528,0.01118546,0.05762509,0.01148507,0.06911016,2,8.99,51.54,50.08,49.92,"9,740","9,781","9,702","9,723","9,694","9,955","9,860","10,101","10,012","10,013","10,420","10,561","10,482","10,503","10,374","10,655","10,550","10,811","10,712","10,613",24,"6,915",112,"2,270",577,115,692
-8542958.3353,4766529.9186,4,S1999030111,3,Baltimore,0,None,Ramp 3 Fr Md 122 Eb To Ramp 2 (to Is695),RP,695,  ,0.02,0,0.05,Exit 17 Ramp 3 Fr Md 122 Eb To Ramp 2 (to Is 695 Nb),Exit 17 Ramp 03 Security Blvd To Ramp 2 Fr Md 122 Wb To Is 695 Nb,Urban,1,Interstate,03000RP00695  02NNIS17        03,03000RP00695--101703,2,North,1,F,0,10.46,100,100,0,0.1155,https://maps.roads.maryland.gov/itms_public/?stationid=S1999030111,,,5240,5291,5292,5423,4880,5001,6290,6331,,,5550,5611,5562,5693,5120,5201,6540,6581,,,,,,,NO ERROR,,,,,,,,,,,1,10.46,100,100,0,N/A,N/A,"5,240","5,291","5,292","5,423","4,880","5,001","6,290","6,331",N/A,N/A,"5,550","5,611","5,562","5,693","5,120","5,201","6,540","6,581",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8520413.1814,4779663.9938,5,S2012030129,3,Baltimore,0,None,Waltham Woods Rd,CO,3534,  ,0.42,0,0.46,Waltham Woods Rd - Between Md 41 & Cider Mill Rd,Joppa Rd To Md 41,Urban,5,Major Collector,03000CO03534  01NN**************,03000CO03534--1-----,1,South,2,F,0,9.04,54.82,49.07,50.93,1.0092,https://maps.roads.maryland.gov/itms_public/?stationid=S2012030129,,,6600,6611,6592,6763,6894,7065,6010,6011,,,7130,7141,7052,7243,7384,7495,6370,6611,,,,,,,NO ERROR,,,,,,,,,,,2,9.04,54.82,49.07,50.93,N/A,N/A,"6,600","6,611","6,592","6,763","6,894","7,065","6,010","6,011",N/A,N/A,"7,130","7,141","7,052","7,243","7,384","7,495","6,370","6,611",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8536933.37,4735298.587,6,B0845,2,Anne Arundel,0,None,No Name,MD,32,  ,4.04,2.83,4.54,Md32-.50 Mi S Of Md170,Sappington Station Rd To Md 170,Urban,2,Principal Arterial Other Freeways and Expressways,02000MD00032  01NN**************,02000MD00032--1-----,1,South,4,C,1,8.59,68.24,47.8,52.2,32.7117,https://maps.roads.maryland.gov/itms_public/?stationid=B0845,43070,43241,42902,44670,44541,45702,49720,50911,50452,52410,46090,46701,46332,48240,47661,48902,53200,54481,53982,55560,79,42093,6892,457,2174,715,NO ERROR,2889,0.75250952,0.24749048,0.00150735,0.80314825,0.13150162,0.00871971,0.04148063,0.01364243,0.05512307,4,8.59,68.24,47.8,52.2,"43,070","43,241","42,902","44,670","44,541","45,702","49,720","50,911","50,452","52,410","46,090","46,701","46,332","48,240","47,661","48,902","53,200","54,481","53,982","55,560",79,"42,093",457,"6,892","2,174",715,"2,889"
-8508592.2204,4632143.0453,7,S2011040633,4,Calvert,0,None,Thunderbird Dr,CO,1431,  ,1.87,0,1.954,Thunderbird Dr Between Gunsmoke Tr & Lariat Ln,Catalina Dr To Gunsmoke Tr,Urban,5,Major Collector,04000CO01431  01NN**************,04000CO01431--1-----,1,North,2,F,0,9.69,60,50.63,49.37,3.2109,https://maps.roads.maryland.gov/itms_public/?stationid=S2011040633,,4520,4481,4492,4483,4604,4695,4540,4501,4502,,4880,4841,4852,4803,4934,5035,4810,4771,4952,,,,,,,NO ERROR,,,,,,,,,,,2,9.69,60,50.63,49.37,N/A,"4,520","4,481","4,492","4,483","4,604","4,695","4,540","4,501","4,502",N/A,"4,880","4,841","4,852","4,803","4,934","5,035","4,810","4,771","4,952",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8563391.0392,4806249.2295,8,S2013060375,6,Carroll,0,None,Coon Club Rd,CO,448,  ,0.27,0,3.34,Coon Club Rd - .10 Mile East Of Gorsuch Rd N,Leisters Church Rd To Houcksville Rd,Urban,5,Major Collector,06000CO00448  01EE**************,06000CO00448--1-----,1,East,2,C,0,8.62,59,52.11,47.89,3.316,https://maps.roads.maryland.gov/itms_public/?stationid=S2013060375,,,,2810,2801,2872,2933,3004,2985,2720,,,,3040,3001,3072,3143,3184,3165,2990,,,,,,,NO ERROR,,,,,,,,,,,2,8.62,59,52.11,47.89,N/A,N/A,N/A,"2,810","2,801","2,872","2,933","3,004","2,985","2,720",N/A,N/A,N/A,"3,040","3,001","3,072","3,143","3,184","3,165","2,990",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8532088.8069,4823095.7662,9,S2010030147,3,Baltimore,0,None,Ramp 5 Fr Is 83 Sb To Md 439,RP,83,  ,0.25,0,0.3,Exit 36 Ramp 5 Fr Is 83 Sb To Md 439,Exit 36 Ramp 05 Harrisburg Expwy To Old York Rd,Rural,1,Interstate,03000RP00083  02SSIS36        05,03000RP00083--103605,2,South,1,F,0,7.85,100,0,100,0.2171,https://maps.roads.maryland.gov/itms_public/?stationid=S2010030147,1830,1831,1842,1863,1864,1915,1920,1971,1962,1983,1940,1941,1952,1983,1964,2015,2020,2051,2042,2063,,,,,,,NO ERROR,,,,,,,,,,,1,7.85,100,0,100,"1,830","1,831","1,842","1,863","1,864","1,915","1,920","1,971","1,962","1,983","1,940","1,941","1,952","1,983","1,964","2,015","2,020","2,051","2,042","2,063",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8767689.3606,4813218.6127,10,B010029,1,Allegany,41,Cumberland,E Second St,MU,3210,  ,0.07,0,0.44,E Second St-.between Arch St & Grand Ave (one Way),Virginia Ave To Memorial Ave,Urban,6,Minor Collector,01041MU03210  01EE**************,01041MU03210--1-----,1,East,2,F,0,9.41,100,100,0,0.079,https://maps.roads.maryland.gov/itms_public/?stationid=B010029,1045,950,941,942,500,511,522,490,491,492,1105,1030,1021,1022,540,551,562,520,521,542,16,409,62,2,3,0,NO ERROR,3,1,0,0.03252033,0.83130081,0.12601626,0.00406504,0.00609756,0,0.00609756,2,9.41,100,100,0,"1,045",950,941,942,500,511,522,490,491,492,"1,105","1,030","1,021","1,022",540,551,562,520,521,542,16,409,2,62,3,0,3
-8532339.3636,4742236.5307,11,S2010020103,2,Anne Arundel,0,None,Ramp 6 Fr Md 174 Eb To Is 97 Sb,RP,97,  ,0.01,0,0.02,Exit 13 Ramp 6 Fr Md 174 Eb To Is 97 Sb ,Exit 13 Ramp 06 Quarterfield Rd To Ramp 7 Fr Md 174 To Ramp 6 (to Is97 Sb),Urban,1,Interstate,02000RP00097  02EEIS13        06,02000RP00097--101306,2,South,1,F,0,8.33,100,0,100,0.0248,https://maps.roads.maryland.gov/itms_public/?stationid=S2010020103,2420,2421,2432,2453,2454,2515,3300,3381,3362,3393,2570,2571,2582,2603,2584,2645,3470,3521,3502,3533,,,,,,,NO ERROR,,,,,,,,,,,1,8.33,100,0,100,"2,420","2,421","2,432","2,453","2,454","2,515","3,300","3,381","3,362","3,393","2,570","2,571","2,582","2,603","2,584","2,645","3,470","3,521","3,502","3,533",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8538482.5157,4694491.7105,12,B0639,2,Anne Arundel,0,None,Southern Md Blvd,MD,4,  ,4.24,1.9,4.77,Md4-.20 Mi S Of Md408,Md 258 To Prince Georges Co/l,Urban,3,Principal Arterial Other,02000MD00004  01NN**************,02000MD00004--1-----,1,South,4,C,3,8.35,79.92,50,50,47.255,https://maps.roads.maryland.gov/itms_public/?stationid=B0639,50042,45380,45471,45242,45203,46294,44100,45071,44802,45110,52542,49010,48201,48412,47923,49074,47190,47331,47042,46910,,,,,,,NO ERROR,,,,,,,,,,,4,8.35,79.92,50,50,"50,042","45,380","45,471","45,242","45,203","46,294","44,100","45,071","44,802","45,110","52,542","49,010","48,201","48,412","47,923","49,074","47,190","47,331","47,042","46,910",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8519440.1225,4777302.4222,13,S2002030025,3,Baltimore,0,None,Ramp 6 Fr Is 695 Eb To Md 147 Sb,RP,695,  ,0.17,0,0.18,Exit 31 Ramp 6 Fr Is 695 Eb To Md 147 Sb,Exit 31 Ramp 06 Balto Beltway To Harford Rd,Urban,1,Interstate,03000RP00695  02EEIS31        06,03000RP00695--103106,2,South,1,F,0,7.89,100,0,100,0.1781,https://maps.roads.maryland.gov/itms_public/?stationid=S2002030025,2410,2411,2422,2620,2621,2520,2571,2632,2690,2711,2560,2561,2572,2780,2751,2650,2701,2742,2800,2821,,,,,,,NO ERROR,,,,,,,,,,,1,7.89,100,0,100,"2,410","2,411","2,422","2,620","2,621","2,520","2,571","2,632","2,690","2,711","2,560","2,561","2,572","2,780","2,751","2,650","2,701","2,742","2,800","2,821",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8589786.7996,4773468.2766,14,S2005060005,6,Carroll,0,None,Ramp 1 Fr Md 27 Nb To Is 70 Wb,RP,70,  ,0.1,0,0.18,Exit 68 Ramp 1 Fr Md 27 Nb To Is 70 Wb,Exit 68 Ramp 01 Ridge Rd To Balto National Pike,Urban,1,Interstate,06000RP00070  02NNIS68        01,06000RP00070--106801,2,North,1,C,0,11.95,100,100,0,0.1912,https://maps.roads.maryland.gov/itms_public/?stationid=S2005060005,2613,2624,2645,2610,2611,2672,2733,2804,2795,2910,2773,2784,2805,2770,2741,2812,2873,2924,2915,3030,,,,,,,NO ERROR,,,,,,,,,,,1,11.95,100,100,0,"2,613","2,624","2,645","2,610","2,611","2,672","2,733","2,804","2,795","2,910","2,773","2,784","2,805","2,770","2,741","2,812","2,873","2,924","2,915","3,030",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8539455.9827,4764721.894,15,S2010030121,3,Baltimore,0,None,Liberty Rd,RP,70,  ,0.15,0,0.25,Exit 94 Ramp 3 Fr Is 70 Eb To Md 122 Nb ,Exit 94 Ramp 03 No Name To Security Blvd,Urban,1,Interstate,03000RP00070  02SSIS94        03,03000RP00070--109403,2,North,1,C,0,11.19,100,100,0,1.0074,https://maps.roads.maryland.gov/itms_public/?stationid=S2010030121,7700,7711,7752,7823,7824,8015,8200,8401,9360,11040,8160,8171,8222,8293,8224,8425,8610,8741,9730,11480,,,,,,,NO ERROR,,,,,,,,,,,1,11.19,100,100,0,"7,700","7,711","7,752","7,823","7,824","8,015","8,200","8,401","9,360","11,040","8,160","8,171","8,222","8,293","8,224","8,425","8,610","8,741","9,730","11,480",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8519144.2887,4772826.2181,16,S2009030052,3,Baltimore,0,None,Maple Ave,CO,4234,  ,0.01,0,0.27,Maple Ave - .01 Mile East Of Us 1,Belair Rd To Elmwood Rd (ahead),Urban,7,Local,03000CO04234  01SS**************,03000CO04234--1-----,1,North,2,F,0,10.12,76.93,35.69,64.31,0.3257,https://maps.roads.maryland.gov/itms_public/?stationid=S2009030052,,3111,3091,3102,3093,3174,3235,3315,3295,3305,,0,3341,3352,3313,3404,3475,3515,3495,3645,,,,,,,NO ERROR,,,,,,,,,,,2,10.12,76.93,35.69,64.31,N/A,"3,111","3,091","3,102","3,093","3,174","3,235","3,315","3,295","3,305",N/A,0,"3,341","3,352","3,313","3,404","3,475","3,515","3,495","3,645",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8511131.9486,4767234.1968,17,S2001030126,3,Baltimore,0,None,Ramp 5 Fr Md 702 Sb To Md 150 Eb,RP,702,  ,0.1,0,0.31,Exit 1 Ramp 5 Fr Md 702 Sb To Md 150 Eb,Exit 1 Ramp 5 Fr Southeast Blvd Sb To Eastern Blvd Eb,Urban,2,Principal Arterial Other Freeways and Expressways,03000RP00702  02SSMD1         05,03000RP00702--100105,2,East,1,F,0,9.93,100,100,0,1.1024,https://maps.roads.maryland.gov/itms_public/?stationid=S2001030126,6580,6611,6562,6583,6564,6745,9600,9831,9742,9743,7040,7141,7092,7113,7024,7225,10270,10521,10422,10333,,,,,,,NO ERROR,,,,,,,,,,,1,9.93,100,100,0,"6,580","6,611","6,562","6,583","6,564","6,745","9,600","9,831","9,742","9,743","7,040","7,141","7,092","7,113","7,024","7,225","10,270","10,521","10,422","10,333",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8606097.4721,4804999.3218,18,B100060,10,Frederick,0,None,Legore Rd,CO,519,  ,1.38,0,1.48,Legore Rd-.10 Mi S Of Legore Bridge Rd,Md 194 To Legore Bridge Rd,Rural,7,Local,10000CO00519  01NN**************,10000CO00519--1-----,1,South,2,F,0,12.05,74.07,50.67,49.33,0.1378,https://maps.roads.maryland.gov/itms_public/?stationid=B100060,185,185,195,195,210,221,232,243,244,255,205,205,215,215,220,231,252,263,264,275,1,146,99,1,7,1,NO ERROR,8,0.875,0.125,0.00392157,0.57254902,0.38823529,0.00392157,0.02745098,0.00392157,0.03137255,2,12.05,74.07,50.67,49.33,185,185,195,195,210,221,232,243,244,255,205,205,215,215,220,231,252,263,264,275,1,146,1,99,7,1,8
-8539110.9724,4792112.8984,19,B0929,3,Baltimore,0,None,Falls Rd,MD,25,  ,9.33,5.94,9.8,Md25-.20 Mi S Of Knox Ave,Padonia Rd To Shawan Rd,Urban,5,Major Collector,03000MD00025  01NN**************,03000MD00025--1-----,1,South,2,F,2,10.82,71.26,50.53,49.47,6.2302,https://maps.roads.maryland.gov/itms_public/?stationid=B0929,5072,4240,4251,4232,4233,4344,4445,4400,4371,4422,5332,4580,4511,4532,4493,4614,4775,4660,4631,4692,,,,,,,NO ERROR,,,,,,,,,,,2,10.82,71.26,50.53,49.47,"5,072","4,240","4,251","4,232","4,233","4,344","4,445","4,400","4,371","4,422","5,332","4,580","4,511","4,532","4,493","4,614","4,775","4,660","4,631","4,692",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8761705.2002,4824316.772,20,B010039,1,Allegany,0,None,Bedford Rd,MD,807,  ,3.22,2.67,3.52,Md807-.30 Mi S Of Us220,Pea Vine Run Rd To Us 220,Rural,4,Minor Arterial,01000MD00807  01NN**************,01000MD00807--1-----,1,North,2,F,1,10.53,57.38,54.04,45.96,0.3422,https://maps.roads.maryland.gov/itms_public/?stationid=B010039,1130,1111,1112,1113,1114,1145,1070,1091,1082,1103,1190,1201,1182,1193,1184,1215,1150,1161,1152,1173,32,787,227,10,36,11,NO ERROR,47,0.76595745,0.23404255,0.02901179,0.71350861,0.20580236,0.00906618,0.03263826,0.0099728,0.04261106,2,10.53,57.38,54.04,45.96,"1,130","1,111","1,112","1,113","1,114","1,145","1,070","1,091","1,082","1,103","1,190","1,201","1,182","1,193","1,184","1,215","1,150","1,161","1,152","1,173",32,787,10,227,36,11,47
-8547161.3903,4738209.0185,21,S2007020018,2,Anne Arundel,0,None,Ramp 6 Fr Md 32 Eb To Md 295 Sb,RP,295,  ,0.2,0,0.57,Exit 4 Ramp 6 Fr Md 32 Eb To Md 295 Sb,Exit 4  Ramp 06 Savage Rd To Baltimore Washington Pkwy,Urban,2,Principal Arterial Other Freeways and Expressways,02000RP00295  02SSMD4         06,02000RP00295--100406,2,South,1,F,0,9.13,100,0,100,1.8583,https://maps.roads.maryland.gov/itms_public/?stationid=S2007020018,8450,8481,8412,8650,8621,8852,9023,9010,8931,8932,9040,9161,9092,9340,9221,9472,9663,9640,9561,9472,,,,,,,NO ERROR,,,,,,,,,,,1,9.13,100,0,100,"8,450","8,481","8,412","8,650","8,621","8,852","9,023","9,010","8,931","8,932","9,040","9,161","9,092","9,340","9,221","9,472","9,663","9,640","9,561","9,472",N/A,N/A,N/A,N/A,N/A,N/A,N/A
